dog_breed,avg_life_expectancy,avg_height,avg_weight
Nederlandse Kooikerhondje,13.5,25.5,25.0
Newfoundland,9.5,28.0,125.0
Norfolk Terrier,14.0,9.5,11.5
Norrbottenspets,15.5,17.25,25.0
Norwegian Buhund,13.5,17.75,33.0
Norwegian Elkhound,13.5,20.5,51.5
Norwegian Lundehund,13.5,14.0,25.0
Norwich Terrier,13.5,10.0,12.0
Nova Scotia Duck Tolling Retriever,13.0,19.5,42.5
Old English Sheepdog,11.0,22.0,80.0
Otterhound,11.5,27.0,97.5
Papillon,15.0,9.5,7.5
Parson Russell Terrier,14.0,14.0,15.0
Pekingese,13.0,7.5,10.5
Perro de Presa Canario,10.0,24.0,97.0
Peruvian Inca Orchid,13.0,23.0,40.5
Petit Basset Griffon Vendéen,15.0,14.0,32.5
Pharaoh Hound,13.0,24.0,50.0
Plott Hound,13.0,22.5,51.25
Polish Lowland Sheepdog,13.0,19.0,40.0
Pomeranian,14.0,6.5,5.0
Poodle (Miniature),14.0,12.5,12.5
Poodle (Standard),14.0,16.0,55.0
Poodle (Toy),14.0,9.0,5.0
Porcelaine,12.5,22.5,58.5
Portuguese Podengo,12.5,25.0,55.0
Portuguese Podengo Pequeno,13.5,10.0,11.0
Portuguese Pointer,14.0,21.25,47.0
Portuguese Water Dog,12.0,21.5,46.75
Pudelpointer,14.0,24.0,57.5
Pug,14.0,11.5,16.0
Puli,12.5,17.0,30.0
Pumi,12.5,17.25,25.5
Pyrenean Mastiff,11.5,29.0,180.0
Pyrenean Shepherd,18.0,16.75,22.5
Rafeiro do Alentejo,13.0,27.0,104.5
Rat Terrier,15.0,11.5,17.5
Redbone Coonhound,13.5,24.5,57.5
Rhodesian Ridgeback,11.0,26.0,77.5
Romanian Mioritic Shepherd Dog,13.0,28.0,115.0
Rottweiler,9.5,25.5,102.5
Russell Terrier,13.0,11.0,12.0
Russian Toy,13.0,9.5,4.949999999999999
Saint Bernard,9.0,29.0,145.0
Saluki,13.5,25.5,52.5
Samoyed,13.0,22.25,48.75
Schapendoes,13.5,18.0,40.5
Schipperke,13.0,12.0,13.0
Scottish Deerhound,9.5,31.0,91.25
Scottish Terrier,12.0,10.0,20.0
Sealyham Terrier,13.0,10.5,22.25
Segugio Italiano,12.0,21.0,50.0
Shetland Sheepdog,13.0,14.5,20.0
Shiba Inu,14.5,15.5,20.0
Shih Tzu,14.0,9.75,12.5
Shikoku,11.0,19.5,45.0
Siberian Husky,13.0,22.25,47.5
Silky Terrier,14.0,9.5,9.0
