image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,name
https://api-ninjas.com/images/dogs/berger_picard.jpg,3,3,3,1,1,1,3,3,4,4,4,2,12.0,13.0,25.5,25.5,70.0,70.0,23.5,23.5,50.0,50.0,Berger Picard
https://api-ninjas.com/images/dogs/bernese_mountain_dog.jpg,5,5,5,3,3,1,4,4,3,4,4,3,7.0,10.0,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,Bernese Mountain Dog
https://api-ninjas.com/images/dogs/black_and_tan_coonhound.jpg,5,5,3,2,3,1,3,3,2,3,3,4,10.0,12.0,27.0,27.0,110.0,110.0,25.0,25.0,65.0,65.0,Black and Tan Coonhound
https://api-ninjas.com/images/dogs/black_russian_terrier.jpg,3,3,3,4,3,2,2,3,5,4,4,3,10.0,12.0,30.0,30.0,130.0,130.0,27.0,27.0,80.0,80.0,Black Russian Terrier
https://api-ninjas.com/images/dogs/bloodhound.jpg,3,3,3,2,5,1,3,3,2,4,3,5,10.0,12.0,27.0,27.0,110.0,100.0,25.0,25.0,90.0,80.0,Bloodhound
https://api-ninjas.com/images/dogs/bluetick_coonhound.jpg,3,5,3,2,2,1,3,3,2,4,4,4,11.0,12.0,27.0,27.0,80.0,65.0,22.0,22.0,55.0,45.0,Bluetick Coonhound
https://api-ninjas.com/images/dogs/boerboel.jpg,4,2,3,2,3,1,3,3,5,4,3,3,9.0,11.0,27.0,27.0,200.0,200.0,24.0,24.0,150.0,150.0,Boerboel
https://api-ninjas.com/images/dogs/bohemian_shepherd.jpg,5,3,3,2,2,1,4,3,3,4,3,3,12.0,15.0,21.7,21.7,60.0,53.0,20.5,20.5,41.0,37.0,Bohemian Shepherd
https://api-ninjas.com/images/dogs/bolognese.jpg,3,3,1,3,1,1,3,4,2,3,4,3,12.0,14.0,12.0,12.0,9.0,9.0,10.0,10.0,5.5,5.5,Bolognese
https://api-ninjas.com/images/dogs/border_collie.jpg,3,3,3,3,1,1,4,5,3,5,5,4,12.0,15.0,22.0,22.0,55.0,55.0,19.0,19.0,30.0,30.0,Border Collie
https://api-ninjas.com/images/dogs/border_terrier.jpg,5,3,2,2,1,1,4,4,3,4,3,3,12.0,15.0,15.0,15.0,15.5,14.0,12.0,12.0,13.0,11.5,Border Terrier
https://api-ninjas.com/images/dogs/borzoi.jpg,3,3,3,2,1,1,3,3,3,2,4,2,9.0,14.0,33.0,31.0,105.0,85.0,30.0,27.0,75.0,60.0,Borzoi
https://api-ninjas.com/images/dogs/boston_terrier.jpg,5,4,2,2,1,1,5,5,3,4,4,2,11.0,13.0,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,Boston Terrier
https://api-ninjas.com/images/dogs/bouvier_des_flandres.jpg,3,3,3,4,2,1,3,3,4,4,4,3,10.0,12.0,27.5,27.5,110.0,110.0,24.5,24.5,70.0,70.0,Bouvier des Flandres
https://api-ninjas.com/images/dogs/boxer.jpg,5,3,2,2,3,1,4,4,4,4,4,3,10.0,12.0,25.0,25.0,80.0,65.0,23.0,23.0,65.0,50.0,Boxer
https://api-ninjas.com/images/dogs/boykin_spaniel.jpg,5,5,3,3,1,1,3,4,3,4,4,3,10.0,15.0,18.0,18.0,40.0,35.0,15.5,15.5,30.0,25.0,Boykin Spaniel
https://api-ninjas.com/images/dogs/bracco_italiano.jpg,4,4,2,1,2,1,3,3,3,5,4,2,10.0,14.0,27.0,27.0,90.0,90.0,21.0,21.0,55.0,55.0,Bracco Italiano
https://api-ninjas.com/images/dogs/braque_du_bourbonnais.jpg,3,4,2,1,2,1,3,3,3,5,4,2,10.0,12.0,22.5,22.5,53.0,53.0,19.0,19.0,35.0,35.0,Braque du Bourbonnais
https://api-ninjas.com/images/dogs/braque_francais_pyrenean.jpg,5,5,3,1,2,1,3,3,3,3,5,3,12.0,15.0,23.0,23.0,55.0,55.0,18.5,18.5,40.0,40.0,Braque Francais Pyrenean
https://api-ninjas.com/images/dogs/briard.jpg,3,3,1,4,2,1,3,3,4,3,3,1,12.0,12.0,27.0,27.0,100.0,100.0,23.0,23.0,55.0,55.0,Briard
https://api-ninjas.com/images/dogs/brittany.jpg,4,4,3,3,1,1,3,4,3,5,5,3,12.0,14.0,20.5,20.5,40.0,40.0,17.5,17.5,30.0,30.0,Brittany
https://api-ninjas.com/images/dogs/broholmer.jpg,3,3,3,1,3,1,3,3,4,3,2,1,8.0,10.0,29.5,29.5,150.0,150.0,27.5,27.5,90.0,90.0,Broholmer
https://api-ninjas.com/images/dogs/brussels_griffon.jpg,3,3,3,3,1,2,4,4,3,4,3,4,12.0,15.0,10.0,10.0,10.0,10.0,7.0,7.0,8.0,8.0,Brussels Griffon
https://api-ninjas.com/images/dogs/bull_terrier.jpg,3,1,3,2,1,1,4,4,3,3,4,3,12.0,13.0,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,Bull Terrier
https://api-ninjas.com/images/dogs/miniature_bull_terrier.jpg,3,3,2,1,2,1,3,4,4,3,4,5,11.0,13.0,14.0,14.0,28.0,28.0,10.0,10.0,18.0,18.0,Miniature Bull Terrier
https://api-ninjas.com/images/dogs/staffordshire_bull_terrier.jpg,5,3,2,2,3,1,4,4,5,5,4,3,12.0,14.0,16.0,16.0,38.0,34.0,14.0,14.0,28.0,24.0,Staffordshire Bull Terrier
https://api-ninjas.com/images/dogs/american_bulldog.jpg,3,3,2,0,0,1,0,0,0,4,0,1,10.0,12.0,28.0,24.0,100.0,80.0,20.0,20.0,75.0,60.0,American Bulldog
https://api-ninjas.com/images/dogs/bulldog.jpg,3,3,3,3,3,1,4,4,3,4,3,2,8.0,10.0,15.0,15.0,50.0,40.0,14.0,14.0,50.0,40.0,Bulldog
https://api-ninjas.com/images/dogs/french_bulldog.jpg,5,4,3,1,3,1,5,5,3,4,3,1,10.0,12.0,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,French Bulldog
https://api-ninjas.com/images/dogs/bullmastiff.jpg,3,3,3,1,3,1,3,3,5,4,4,1,7.0,9.0,27.0,27.0,130.0,120.0,25.0,25.0,110.0,100.0,Bullmastiff
https://api-ninjas.com/images/dogs/cairn_terrier.jpg,3,3,2,2,1,1,3,4,4,3,3,4,13.0,15.0,10.0,10.0,14.0,13.0,10.0,10.0,14.0,13.0,Cairn Terrier
https://api-ninjas.com/images/dogs/canaan_dog.jpg,3,3,4,2,1,1,3,3,4,4,3,5,12.0,15.0,24.0,24.0,55.0,45.0,20.0,20.0,45.0,35.0,Canaan Dog
https://api-ninjas.com/images/dogs/cane_corso.jpg,3,3,2,1,3,1,3,3,5,4,4,3,9.0,12.0,27.5,27.5,110.0,99.0,25.0,25.0,99.0,88.0,Cane Corso
https://api-ninjas.com/images/dogs/carolina_dog.jpg,3,3,3,1,2,1,3,3,3,3,3,3,12.0,15.0,19.5,19.5,55.0,55.0,17.75,17.75,30.0,30.0,Carolina Dog
https://api-ninjas.com/images/dogs/caucasian_shepherd_dog.jpg,3,2,4,3,4,1,2,2,5,3,3,2,10.0,12.0,30.0,30.0,170.0,170.0,23.0,23.0,99.0,99.0,Caucasian Shepherd Dog
https://api-ninjas.com/images/dogs/cavalier_king_charles_spaniel.jpg,5,5,2,2,2,1,4,3,3,4,3,3,12.0,15.0,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,Cavalier King Charles Spaniel
https://api-ninjas.com/images/dogs/central_asian_shepherd_dog.jpg,3,3,3,1,3,1,1,3,5,4,3,3,12.0,15.0,31.0,27.0,170.0,140.0,26.0,24.0,110.0,88.0,Central Asian Shepherd Dog
https://api-ninjas.com/images/dogs/cesky_terrier.jpg,5,3,2,2,1,1,4,3,3,3,3,3,12.0,15.0,13.0,13.0,24.0,24.0,10.0,10.0,14.0,14.0,Cesky Terrier
https://api-ninjas.com/images/dogs/chesapeake_bay_retriever.jpg,3,3,3,3,2,1,3,3,4,5,4,3,10.0,13.0,26.0,26.0,80.0,70.0,23.0,23.0,65.0,55.0,Chesapeake Bay Retriever
https://api-ninjas.com/images/dogs/chihuahua.jpg,1,3,2,1,1,2,2,4,4,3,4,5,14.0,16.0,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,Chihuahua
https://api-ninjas.com/images/dogs/chinook.jpg,5,5,3,3,1,1,3,3,4,4,3,5,12.0,15.0,26.0,26.0,90.0,65.0,24.0,24.0,55.0,50.0,Chinook
https://api-ninjas.com/images/dogs/chow_chow.jpg,3,2,3,3,3,1,2,3,5,3,3,1,8.0,12.0,20.0,20.0,70.0,70.0,17.0,17.0,45.0,45.0,Chow Chow
https://api-ninjas.com/images/dogs/clumber_spaniel.jpg,3,3,3,2,4,1,4,3,3,4,3,1,10.0,12.0,20.0,20.0,85.0,70.0,18.0,18.0,70.0,55.0,Clumber Spaniel
https://api-ninjas.com/images/dogs/coton_de_tulear.jpg,5,5,2,4,1,1,5,4,3,4,3,1,15.0,19.0,11.0,11.0,15.0,13.0,10.0,10.0,9.0,8.0,Coton de Tulear
https://api-ninjas.com/images/dogs/croatian_sheepdog.jpg,3,3,2,1,3,1,2,3,5,3,3,3,13.0,14.0,20.0,20.0,44.0,44.0,16.0,16.0,29.0,29.0,Croatian Sheepdog
https://api-ninjas.com/images/dogs/curly-coated_retriever.jpg,5,3,2,1,1,1,3,4,4,4,4,3,10.0,12.0,27.0,27.0,95.0,95.0,25.0,25.0,60.0,60.0,Curly-Coated Retriever
https://api-ninjas.com/images/dogs/dachshund.jpg,3,4,2,2,2,2,4,4,4,4,3,5,12.0,16.0,9.0,9.0,32.0,32.0,8.0,8.0,16.0,16.0,Dachshund
https://api-ninjas.com/images/dogs/dalmatian.jpg,3,3,4,2,2,1,4,4,4,4,4,3,11.0,13.0,24.0,24.0,70.0,70.0,19.0,19.0,45.0,45.0,Dalmatian
https://api-ninjas.com/images/dogs/dandie_dinmont_terrier.jpg,3,3,2,3,1,1,4,3,4,4,3,3,12.0,15.0,11.0,11.0,24.0,24.0,8.0,8.0,18.0,18.0,Dandie Dinmont Terrier
